,Regime,Direction,Cluster,State,Warnings
EURUSD=X,Consolidation,None,0,BULLISH_ONLY,
GBPUSD=X,Consolidation,None,0,ALLOW,
AUDUSD=X,Consolidation,None,0,BULLISH_ONLY,
NZDUSD=X,Consolidation,None,0,ALLOW,
EURJPY=X,Consolidation,None,0,BEARISH_ONLY,
GBPJPY=X,Consolidation,None,0,BEARISH_ONLY,
EURCHF=X,Consolidation,None,0,BULLISH_ONLY,
AUDJPY=X,Consolidation,None,0,BEARISH_ONLY,
NZDJPY=X,Consolidation,None,0,BEARISH_ONLY,
CHFJPY=X,Consolidation,None,0,BEARISH_ONLY,
AUDNZD=X,Consolidation,None,0,BULLISH_ONLY,
GC=F,Consolidation,None,0,ALLOW,
GBPCHF=X,Mean Reversion,⚠️SHORT,0,BULLISH_ONLY,
USDJPY=X,Consolidation,None,1,BEARISH_ONLY,
USDCHF=X,Consolidation,None,1,ALLOW,
EURGBP=X,Consolidation,None,1,BEARISH_ONLY,
EURAUD=X,Consolidation,None,1,BEARISH_ONLY,
GBPNZD=X,Consolidation,None,1,BULLISH_ONLY,
CL=F,Consolidation,None,1,ALLOW,
USDCAD=X,Mean Reversion,SHORT,1,BEARISH_ONLY,
GBPAUD=X,Mean Reversion,LONG,1,BULLISH_ONLY,
EURNZD=X,Trend Breakout,LONG,1,BULLISH_ONLY,
